,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
MYO1H,MYO1H,-0.2639260431740337,0.22579846283488952,0.35148555763539435,Not Significant,paired_ttest,0.7786281907501887,1.0425542339242224,0.4540925152191606,Not Significant
GPBP1,GPBP1,-0.31008658455610094,0.2258649320053549,0.3515527271229332,Not Significant,paired_ttest,3.1893963312531075,3.4994829158092084,0.4540095287346076,Not Significant
RAB3B,RAB3B,-0.3621440925890056,0.2261080795858753,0.3518374287547005,Not Significant,paired_ttest,1.5960576202765262,1.9582017128655318,0.4536579618172024,Not Significant
CLDN12,CLDN12,0.2041189630094733,0.22611490761650402,0.3518374287547005,Not Significant,paired_ttest,3.719384583243578,3.515265620234105,0.4536579618172024,Not Significant
ATP6V0A2,ATP6V0A2,-0.2414553307315357,0.22611785932636594,0.3518374287547005,Not Significant,paired_ttest,4.814150193703141,5.055605524434677,0.4536579618172024,Not Significant
DYNC1I2,DYNC1I2,-0.29456345909434045,0.22627447950275478,0.3520447939095491,Not Significant,paired_ttest,3.9702541991734535,4.264817658267794,0.4534020737092338,Not Significant
MTERFD3,MTERFD3,-0.33051614275239327,0.22638168577379159,0.3521752445284988,Not Significant,paired_ttest,2.7203102105578085,3.050826353310202,0.45324117517886997,Not Significant
SCAF4,SCAF4,0.2806232529792543,0.22644258453694152,0.3522336364505706,Not Significant,paired_ttest,4.0216141496390705,3.740990896659816,0.45316917356081443,Not Significant
TMEM66,TMEM66,0.405960161248065,0.2265250670362956,0.3523255865716695,Not Significant,paired_ttest,6.506503769123364,6.100543607875299,0.4530558163606659,Not Significant
FRG1,FRG1,-0.2965422642472322,0.22675453917043528,0.3526461143525358,Not Significant,paired_ttest,2.8054470857905067,3.101989350037739,0.4526608970867813,Not Significant
AKAP5,AKAP5,-0.3246845327370993,0.22680793343868816,0.35269276993518955,Not Significant,paired_ttest,2.109259157243134,2.433943689980233,0.45260344310947354,Not Significant
GYS1,GYS1,0.4058228963045192,0.2272402715267283,0.3533286235083494,Not Significant,paired_ttest,4.566308095278159,4.16048519897364,0.4518211785057431,Not Significant
BCL9L,BCL9L,0.35818383694785894,0.22748405671101368,0.3536712012968178,Not Significant,paired_ttest,5.664258148328383,5.306074311380524,0.4514003024331375,Not Significant
DUX4L3,DUX4L3,-0.38012059469897713,0.22762977958819058,0.35382478163435005,Not Significant,paired_ttest,0.38057049303581975,0.7606910877347969,0.45121175268649316,Not Significant
DUX4L6,DUX4L6,-0.38012059469897713,0.22762977958819058,0.35382478163435005,Not Significant,paired_ttest,0.38057049303581975,0.7606910877347969,0.45121175268649316,Not Significant
ZNF326,ZNF326,-0.28171801458702594,0.22765996829317844,0.3538352249472122,Not Significant,paired_ttest,2.926867939365011,3.208585953952037,0.451198934459924,Not Significant
LTA4H,LTA4H,-0.27614587051781525,0.22771395595624772,0.3538826512726925,Not Significant,paired_ttest,3.5938655503397734,3.8700114208575886,0.45114072767392643,Not Significant
SPEG,SPEG,-0.294539726903599,0.22784537559469978,0.35405038986453247,Not Significant,paired_ttest,5.26917628850733,5.563716015410929,0.45093492305126176,Not Significant
8-Sep,8-Sep,-0.2600353331790286,0.22788119999899822,0.3540695631438624,Not Significant,paired_ttest,3.9968913118667846,4.256926645045813,0.45091140486234577,Not Significant
THOC1,THOC1,-0.316544188873515,0.2279243064353869,0.35410004573576803,Not Significant,paired_ttest,3.4807572536650406,3.7973014425385556,0.4508740171481572,Not Significant
SPHKAP,SPHKAP,-0.22126199267776475,0.22802127695212202,0.354214195912436,Not Significant,paired_ttest,0.49733350114509595,0.7185954938228607,0.4507340374912495,Not Significant
IL10RA,IL10RA,0.2936860485477437,0.22810332961959068,0.3543051511791623,Not Significant,paired_ttest,4.538283611702935,4.2445975631551915,0.450622533491201,Not Significant
ANG,ANG,-0.33159503968362203,0.22816781033812392,0.3543687966063208,Not Significant,paired_ttest,1.9584699116304651,2.290064951314087,0.4505445262271439,Not Significant
AKAP3,AKAP3,-0.2240571049852843,0.22821449484599904,0.3544047923669429,Not Significant,paired_ttest,0.9930513986076496,1.2171085035929339,0.45050041408621,Not Significant
DUSP27,DUSP27,-0.26071485508720144,0.22844830175317893,0.3547313417685576,Not Significant,paired_ttest,0.37971508329020937,0.6404299383774108,0.45010043837946595,Not Significant
TMEM210,TMEM210,0.28130317807511407,0.22848963432704208,0.35475898322497285,Not Significant,paired_ttest,1.0368936476992239,0.7555904696241098,0.45006659850434405,Not Significant
ARMCX1,ARMCX1,-0.22543546815060855,0.22854460727328155,0.3548077952066721,Not Significant,paired_ttest,2.2920709997214224,2.517506467872031,0.45000684718852557,Not Significant
SLC12A1,SLC12A1,-0.40531257394790954,0.2286842214019607,0.3549879861878047,Not Significant,paired_ttest,0.7702168142661971,1.1755293882141067,0.44978634446780785,Not Significant
NCOA7,NCOA7,-0.2625626137919923,0.22872543918263852,0.3550154145081291,Not Significant,paired_ttest,4.452817768646134,4.715380382438126,0.4497527897886076,Not Significant
SSTR3,SSTR3,-0.24502450605052817,0.22893874831091796,0.35527334735310334,Not Significant,paired_ttest,0.49934265703961056,0.7443671630901387,0.4494373721100164,Not Significant
SLK,SLK,-0.2880870617668978,0.22893432258189758,0.35527334735310334,Not Significant,paired_ttest,2.548364361149703,2.8364514229166007,0.4494373721100164,Not Significant
BRIX1,BRIX1,0.2318996183527684,0.2290185109820144,0.3552920529521821,Not Significant,paired_ttest,2.6350257211446984,2.40312610279193,0.44941450654842563,Not Significant
MRPL10,MRPL10,0.2728510631277046,0.22902150242699026,0.3552920529521821,Not Significant,paired_ttest,3.6389727192139807,3.366121656086276,0.44941450654842563,Not Significant
KIF7,KIF7,0.3434970075909387,0.22901856607376597,0.3552920529521821,Not Significant,paired_ttest,2.856815588412906,2.5133185808219674,0.44941450654842563,Not Significant
KCNQ5,KCNQ5,0.2799580532199404,0.22911553429620854,0.35540135765507147,Not Significant,paired_ttest,1.4029868544838555,1.1230288012639151,0.4492809174958842,Not Significant
TNFSF8,TNFSF8,-0.2717286019892542,0.22936853969777,0.35575721239543007,Not Significant,paired_ttest,1.3129134149856028,1.584642016974857,0.4488462865443521,Not Significant
FAM222A,FAM222A,0.31907683494338457,0.22943955656931272,0.3558307535067337,Not Significant,paired_ttest,2.509222884993714,2.1901460500503296,0.4487565197116446,Not Significant
MTR,MTR,0.28176202922702664,0.2295641792708596,0.3559837209968696,Not Significant,paired_ttest,4.287287236608713,4.0055252073816865,0.4485698616981346,Not Significant
MED31,MED31,-0.22668482906006715,0.2295854151799259,0.3559837209968696,Not Significant,paired_ttest,1.4629363566633369,1.689621185723404,0.4485698616981346,Not Significant
LAX1,LAX1,0.2675088302271733,0.22967403894977287,0.3560845136987634,Not Significant,paired_ttest,1.9797755041123097,1.7122666738851364,0.448446913608589,Not Significant
CDKL2,CDKL2,-0.2748324387111394,0.22969784378856117,0.3560848013322723,Not Significant,paired_ttest,0.6834729177483674,0.9583053564595068,0.44844656279974876,Not Significant
AMPD3,AMPD3,0.23924782678624146,0.2298520118241327,0.35625053256508943,Not Significant,paired_ttest,3.593865942703737,3.3546181159174955,0.44824447774860754,Not Significant
SLC7A6,SLC7A6,0.40342019857319134,0.22983979792436546,0.35625053256508943,Not Significant,paired_ttest,4.964034708477987,4.560614509904796,0.44824447774860754,Not Significant
STAG3,STAG3,0.26846981324690145,0.22988743176441157,0.3562688035855539,Not Significant,paired_ttest,5.8656438598266165,5.597174046579715,0.44822220465939966,Not Significant
PRDM15,PRDM15,-0.18507499032894525,0.2299680385909007,0.3563570921776564,Not Significant,paired_ttest,3.2762086390079306,3.461283629336876,0.4481145935024399,Not Significant
KIF25,KIF25,-0.2209864653528033,0.23002696309150295,0.3564001458716945,Not Significant,paired_ttest,0.6173600976736128,0.8383465630264161,0.44806212688191077,Not Significant
KRT20,KRT20,-0.20299476239070507,0.23006674314296435,0.3564001458716945,Not Significant,paired_ttest,0.32224072093094974,0.5252354833216548,0.44806212688191077,Epithelial Lineage Marker (High Baseline in Normal & Adenoma)
SLC38A2,SLC38A2,-0.4469735696641921,0.23005648543059193,0.3564001458716945,Not Significant,paired_ttest,5.1914613596279215,5.638434929292114,0.44806212688191077,Not Significant
PLRG1,PLRG1,-0.27885708071920945,0.2302115986001855,0.35658790306137844,Not Significant,paired_ttest,3.060346700525985,3.3392037812451942,0.4478333939783949,Not Significant
SPATA17,SPATA17,0.3112049294130821,0.23028858550410267,0.35667050699197167,Not Significant,paired_ttest,2.264550325761642,1.9533453963485599,0.44773280089489276,Not Significant
PRDX2,PRDX2,0.4943983506469838,0.2305694144287308,0.3570687716412476,Not Significant,paired_ttest,6.36102521251567,5.866626861868686,0.44724813047630424,Not Significant
SMIM1,SMIM1,0.35090426193387003,0.23064577087150642,0.35715033295591936,Not Significant,paired_ttest,2.5777296100569744,2.2268253481231044,0.4471489406651533,Not Significant
FAU,FAU,0.5349573930170699,0.23071814078688738,0.35722570509429125,Not Significant,paired_ttest,7.6321338748978516,7.097176481880782,0.4470572978827471,Not Significant
SAMD11,SAMD11,0.33470412334988264,0.23078247408679162,0.3572420997271385,Not Significant,paired_ttest,2.835128266075031,2.5004241427251483,0.4470373666877189,Not Significant
SDCCAG8,SDCCAG8,-0.18750209301820853,0.2307998176799104,0.3572420997271385,Not Significant,paired_ttest,5.048757206379918,5.236259299398126,0.4470373666877189,Not Significant
DCPS,DCPS,0.26889922945796707,0.2307571059064242,0.3572420997271385,Not Significant,paired_ttest,3.1552572347893255,2.8863580053313584,0.4470373666877189,Not Significant
LRRC48,LRRC48,-0.3023079231245651,0.23094388349044087,0.3574283941589043,Not Significant,paired_ttest,3.074021551070457,3.376329474195022,0.44681095004886257,Not Significant
PDC,PDC,-0.2912637269737858,0.23117877334095344,0.3577552029242675,Not Significant,paired_ttest,0.5177876490403399,0.8090513760141257,0.44641404146792585,Not Significant
RBM14,RBM14,0.4067737319727227,0.23136518545574072,0.3580069317387609,Not Significant,paired_ttest,6.153946076419711,5.747172344446988,0.4461085644545899,Not Significant
GK5,GK5,-0.314759470107258,0.23143504333722123,0.3580782751797975,Not Significant,paired_ttest,3.4461267605579127,3.7608862306651707,0.4460220270912556,Not Significant
GTSF1,GTSF1,-0.2984439293983958,0.23152708580717174,0.3581839246412438,Not Significant,paired_ttest,0.4362276443552924,0.7346715737536882,0.4458939092638276,Not Significant
AHSA1,AHSA1,0.2425154096561224,0.2317046412247213,0.35842183163389063,Not Significant,paired_ttest,4.8653729772585255,4.622857567602403,0.44560554513333067,Not Significant
CSNK1A1,CSNK1A1,0.38786401866681963,0.23174142031010103,0.358441946506113,Not Significant,paired_ttest,6.81616015113485,6.428296132468031,0.4455811729212618,Not Significant
RAB33B,RAB33B,-0.21137777132437519,0.23190932865027017,0.35866485830236694,Not Significant,paired_ttest,3.3205731466102573,3.5319509179346325,0.4453111730675909,Not Significant
MIS12,MIS12,0.2696546312757859,0.2320193055136483,0.35879813826277174,Not Significant,paired_ttest,2.4586699522910753,2.1890153210152894,0.4451498190959017,Not Significant
KCNC3,KCNC3,0.2722680911712416,0.23223381826107373,0.35909303016450744,Not Significant,paired_ttest,3.342735350254287,3.0704672590830455,0.4447930242542387,Not Significant
GALNT8,GALNT8,-0.2601405364127689,0.23229381119178832,0.35914895882754594,Not Significant,paired_ttest,0.7300583535455434,0.9901988899583123,0.44472538824810376,Not Significant
PRDM4,PRDM4,0.29803931533236794,0.2323369661392227,0.359178845520398,Not Significant,paired_ttest,3.964899866218739,3.666860550886371,0.44468924980067925,Not Significant
CCDC169,CCDC169,-0.30887065521705936,0.23238949037403844,0.35922320894893917,Not Significant,paired_ttest,0.6188507691661821,0.9277214243832415,0.44463561189104817,Not Significant
GYG1,GYG1,-0.2670120169307353,0.2325218482696026,0.35939095596806736,Not Significant,paired_ttest,4.628621825656298,4.895633842587033,0.44443285606005295,Not Significant
FUCA1,FUCA1,0.27395782865891727,0.23260337243050394,0.35948010689515913,Not Significant,paired_ttest,2.728542420701509,2.454584592042592,0.44432513783938404,Not Significant
FKBP10,FKBP10,0.1690832905586399,0.2326690755412637,0.3595447911910713,Not Significant,paired_ttest,6.07327609697801,5.9041928064193705,0.4442469985901564,Not Significant
OR1L6,OR1L6,-0.20272802535756163,0.23286120881375838,0.35977825797398955,Not Significant,paired_ttest,0.42379400081287977,0.6265220261704414,0.44396508536853185,Not Significant
APEH,APEH,0.3443435213537587,0.23286788546764328,0.35977825797398955,Not Significant,paired_ttest,5.504290770586917,5.159947249233158,0.44396508536853185,Not Significant
APPBP2,APPBP2,0.22251750885017962,0.23295036409153008,0.359823727570475,Not Significant,paired_ttest,3.9722882909091313,3.7497707820589516,0.4439102017098679,Not Significant
IRAK1BP1,IRAK1BP1,-0.20450832256101514,0.23295782716904395,0.359823727570475,Not Significant,paired_ttest,1.5188004302061549,1.72330875276717,0.4439102017098679,Not Significant
PNO1,PNO1,0.24560144173579346,0.23296891780415271,0.359823727570475,Not Significant,paired_ttest,2.959733630018523,2.7141321882827296,0.4439102017098679,Not Significant
RP11-701P16.2,RP11-701P16.2,-0.26083564227722944,0.2330535724496758,0.35988073934767106,Not Significant,paired_ttest,0.9679122743737608,1.2287479166509903,0.44384139596687294,Not Significant
TAF13,TAF13,0.2778493871302694,0.2330484939636655,0.35988073934767106,Not Significant,paired_ttest,2.3758615760653523,2.098012188935083,0.44384139596687294,Not Significant
ZIM2,ZIM2,-0.3394017145931192,0.23318969896044434,0.3600540661130335,Not Significant,paired_ttest,0.8509818350019596,1.1903835495950787,0.4436322802007051,Not Significant
NUTM2D,NUTM2D,-0.3544445319566565,0.23323744268786067,0.3600909048604391,Not Significant,paired_ttest,3.6038530653369216,3.958297597293578,0.4435878478561709,Not Significant
AGA,AGA,0.3799802502596368,0.23329354254098972,0.36014063560802384,Not Significant,paired_ttest,3.191827360693368,2.8118471104337313,0.44352787328389026,Not Significant
HSDL2,HSDL2,-0.29870176463840625,0.23337316925794435,0.36022667141729997,Not Significant,paired_ttest,2.2393874780144127,2.538089242652819,0.44342413487980675,Not Significant
MBIP,MBIP,-0.28566828235995256,0.23347477667665986,0.36030669850195046,Not Significant,paired_ttest,2.091664710988627,2.3773329933485794,0.4433276637853082,Not Significant
SHC3,SHC3,-0.20034018877281068,0.2334967129453473,0.36030669850195046,Not Significant,paired_ttest,1.3411420589489234,1.541482247721734,0.4433276637853082,Not Significant
EPHA7,EPHA7,-0.2892198391857287,0.23345971792200618,0.36030669850195046,Not Significant,paired_ttest,0.6700353092740071,0.9592551484597358,0.4433276637853082,Not Significant
TBL1XR1,TBL1XR1,0.40253989468894513,0.23358660009677362,0.3604085132595394,Not Significant,paired_ttest,5.437226268124252,5.0346863734353065,0.44320495904154883,Not Significant
SMYD4,SMYD4,-0.2311115527095975,0.2336280158857519,0.36043552675947566,Not Significant,paired_ttest,3.7298099459428684,3.960921498652466,0.44317240882731834,Not Significant
VPS41,VPS41,-0.21264345273320107,0.23374178440996102,0.36057414732063564,Not Significant,paired_ttest,4.14916018159617,4.361803634329371,0.443005414825168,Not Significant
SELK,SELK,-0.24369558055457707,0.23377669288361433,0.36059110107564657,Not Significant,paired_ttest,2.6454084307426347,2.8891040112972117,0.4429849953103161,Not Significant
PARD6G,PARD6G,-0.2236071442769001,0.2338444961979305,0.3606587851335038,Not Significant,paired_ttest,3.482809357604194,3.706416501881094,0.44290348455103956,Not Significant
RPS29,RPS29,0.468389144654755,0.23399839616173812,0.36085922877806503,Not Significant,paired_ttest,8.310139844175657,7.841750699520902,0.4426621833795468,Not Significant
CEP152,CEP152,0.2466332866281271,0.2340316460401768,0.36087359064147545,Not Significant,paired_ttest,2.6088907097424463,2.362257423114319,0.4426448992049548,Not Significant
A2M,A2M,0.41555662683879735,0.23410338483931525,0.3609472928858168,Not Significant,paired_ttest,6.860720960893092,6.445164334054295,0.4425562110584547,Not Significant
KLLN,KLLN,-0.27215992857671223,0.23424960930872052,0.3610682624116887,Not Significant,paired_ttest,1.116725835873692,1.3888857644504042,0.4424106840052749,Not Significant
TLR8,TLR8,-0.24609269056064098,0.23423345726943126,0.3610682624116887,Not Significant,paired_ttest,0.696922302616147,0.9430149931767879,0.4424106840052749,Not Significant
