gene,gene,log2FC,pvalue,adj_pvalue,regulation,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
PCK1,PCK1,-2.688733543346731,6.19059541159271e-11,1.6551630711689e-08,Downregulated,7.505639587004301,10.194373130351032,7.781159211906412,Transcriptional Driver
CD36,CD36,-1.909104426870945,6.719451355718461e-11,1.760630644225351e-08,Downregulated,9.52492830142171,11.434032728292655,7.7543317434077474,Transcriptional Driver
STX12,STX12,-1.0809845813281083,8.489349834099145e-11,2.1605780427302894e-08,Downregulated,8.265308921272016,9.346293502600124,7.665430041819786,Transcriptional Driver
PALMD,PALMD,-1.8903785251467813,8.740602722288782e-11,2.1605780427302894e-08,Downregulated,8.781727991415119,10.6721065165619,7.665430041819786,Transcriptional Driver
ARHGEF40,ARHGEF40,-1.6317599016014324,8.672318192350707e-11,2.1605780427302894e-08,Downregulated,7.242181792607729,8.873941694209162,7.665430041819786,Transcriptional Driver
GAB2,GAB2,-1.0435280389528838,9.912305627296865e-11,2.4048354819114118e-08,Downregulated,9.171108704839474,10.214636743792358,7.618914628954167,Transcriptional Driver
RGS1,RGS1,1.6083659284096177,1.0303336707161474e-10,2.4542548036458632e-08,Upregulated,9.177458446822872,7.569092518413254,7.610080350299825,Transcriptional Driver
HBB,HBB,-1.9440994887625642,1.1114092609403501e-10,2.6001022727820583e-08,Downregulated,10.254045525339501,12.198145014102066,7.58500956909405,Transcriptional Driver
CAV2,CAV2,-1.246027861584997,1.1533746116176342e-10,2.6509404889127413e-08,Downregulated,9.576255191192297,10.822283052777294,7.57660002165465,Transcriptional Driver
ATP1B1,ATP1B1,1.090304017712274,1.3170454445982046e-10,2.974933167186393e-08,Upregulated,10.849611571921937,9.759307554209663,7.526522786388604,Transcriptional Driver
GHR,GHR,-1.0759148134403738,1.3968252746775944e-10,3.101662359923926e-08,Downregulated,10.217407410138623,11.293322223578997,7.508405480282185,Transcriptional Driver
FHL1,FHL1,-1.3209624564924045,1.5857745000055467e-10,3.462538620762111e-08,Downregulated,9.721423970895225,11.04238642738763,7.460605373829205,Transcriptional Driver
HSDL2,HSDL2,-1.4484235468918767,1.6189736791028506e-10,3.477077732774827e-08,Downregulated,7.663306282776383,9.11172982966826,7.458785600217571,Transcriptional Driver
C10orf10,C10orf10,-1.5756263121957312,1.9356792368313079e-10,4.077234998530787e-08,Downregulated,7.766313705361061,9.341940017556793,7.389634256508609,Transcriptional Driver
CDKN1C,CDKN1C,-0.9748278818017422,1.960658002499348e-10,4.077234998530787e-08,Not Significant,8.470788061395334,9.445615943197076,7.389634256508609,Not Significant
WASF3,WASF3,-1.0032249474304589,2.1047871080220813e-10,4.308564984718326e-08,Downregulated,10.551268957122225,11.554493904552684,7.365667352343164,Transcriptional Driver
ABCA8,ABCA8,-2.6991882173839397,2.2197216598242025e-10,4.4739343792856734e-08,Downregulated,8.112025904883767,10.811214122267707,7.349310390137273,Transcriptional Driver
KANK1,KANK1,-0.9732560542254074,2.4216384211962676e-10,4.7598623119052715e-08,Not Significant,10.092547954404058,11.065804008629465,7.3224056098939245,Not Significant
AKR1C3,AKR1C3,-2.6892515844722764,2.4342475757396625e-10,4.7598623119052715e-08,Downregulated,7.710730780977555,10.399982365449832,7.3224056098939245,Transcriptional Driver
ACADL,ACADL,-1.2952683623803072,2.6168984960762063e-10,4.984527685248754e-08,Downregulated,7.519283135861087,8.814551498241395,7.302375987484371,Transcriptional Driver
FOSB,FOSB,-2.110922560081635,2.625237846593115e-10,4.984527685248754e-08,Downregulated,8.376109379405783,10.487031939487418,7.302375987484371,Transcriptional Driver
DSP,DSP,0.9729817052084293,3.5858013845011217e-10,6.711083419764171e-08,Not Significant,11.644672152770651,10.671690447562222,7.17320736280521,Not Significant
RAB25,RAB25,1.885477809113845,4.301363806901228e-10,7.936924962565209e-08,Upregulated,9.128664635368102,7.243186826254257,7.100347725590536,Transcriptional Driver
CCDC69,CCDC69,-2.3076320724727672,4.773732081483927e-10,8.686203333266796e-08,Downregulated,5.857515943799481,8.165148016272248,7.061170008558618,Transcriptional Driver
RARRES2,RARRES2,-2.175085478150974,4.895563273401499e-10,8.785859512990826e-08,Downregulated,8.17436020811523,10.349445686266204,7.056215745439087,Transcriptional Driver
CXADR,CXADR,1.4071206574544668,5.016887849448779e-10,8.881925366976818e-08,Upregulated,9.79026575828855,8.383145100834083,7.05149288043574,Transcriptional Driver
CDKN2C,CDKN2C,-1.6026739650113644,5.45594235951178e-10,9.530440113595177e-08,Downregulated,7.937661368134579,9.540335333145944,7.020887043276432,Transcriptional Driver
MMD,MMD,-1.035629978786469,6.508985968707601e-10,1.1220292786320826e-07,Downregulated,10.5839395792324,11.619569558018869,6.949995810296927,Transcriptional Driver
GATA3,GATA3,1.526986276562555,6.800345586965532e-10,1.1570302277251356e-07,Upregulated,10.428446775177662,8.901460498615107,6.936655294840175,Transcriptional Driver
SPINT2,SPINT2,1.5080318662909225,7.339642718471672e-10,1.2327776827525305e-07,Upregulated,10.07754095851421,8.569509092223287,6.909115236347682,Transcriptional Driver
CHRDL1,CHRDL1,-1.0939080108285122,8.590513289545831e-10,1.4246115772954422e-07,Downregulated,10.448743300480901,11.542651311309413,6.846303530625245,Transcriptional Driver
KRT7,KRT7,2.097315717440881,1.0217510615979222e-09,1.6732450822492974e-07,Upregulated,7.632376549904303,5.535060832463422,6.7764404427357166,Transcriptional Driver
HBG2,HBG2,-1.3555779651502151,1.0749930120354415e-09,1.738701660577323e-07,Downregulated,7.8806067898773895,9.236184755027605,6.75977493109701,Transcriptional Driver
ITGB1BP1,ITGB1BP1,-1.494026876379829,1.3017614319308546e-09,2.079802014600747e-07,Downregulated,8.568737815661539,10.062764692041368,6.6819780054501505,Transcriptional Driver
FERMT2,FERMT2,-1.1969690815684384,1.4961820032842945e-09,2.3616241475936796e-07,Downregulated,9.49856332988893,10.695532411457368,6.626789219175705,Transcriptional Driver
RETSAT,RETSAT,-1.1259094755578687,1.6159219708855693e-09,2.520261159591886e-07,Downregulated,10.322904934862136,11.448814410420004,6.598554453546662,Transcriptional Driver
LOC101927733,LOC101927733,0.7940142139214004,1.6622212048955628e-09,2.5619717653337374e-07,Not Significant,12.238857828882038,11.444843614960638,6.591425660784668,Not Significant
EPAS1,EPAS1,-1.07949974906097,1.923922572193142e-09,2.930849955616553e-07,Downregulated,9.697455048781608,10.776954797842578,6.53300641462733,Transcriptional Driver
PRR5-ARHGAP8,PRR5-ARHGAP8,1.1606386037090717,2.20431467084314e-09,3.3193938508868936e-07,Upregulated,8.204686037950703,7.044047434241631,6.4789412148649825,Transcriptional Driver
LOC100653057,LOC100653057,-1.6042055302744345,2.601538310230683e-09,3.87304015935593e-07,Downregulated,6.93270623876362,8.536911769038054,6.411947999813232,Transcriptional Driver
EPB41L2,EPB41L2,-1.1182044136084208,2.7565114979583355e-09,4.0576468690732756e-07,Downregulated,8.660592692952468,9.778797106560889,6.391725751656083,Transcriptional Driver
AGPAT2,AGPAT2,-0.8003026509248325,3.0067503064285428e-09,4.3768261960578156e-07,Not Significant,9.726066024061105,10.526368674985937,6.358840698895614,Not Significant
COPG2IT1,COPG2IT1,-1.1568987074670627,3.2877756722754485e-09,4.733313085986885e-07,Downregulated,9.734404341685746,10.891303049152809,6.324834768082305,Transcriptional Driver
CAV1,CAV1,-1.688019848274232,3.518584846593166e-09,4.962469892174487e-07,Downregulated,9.88894015113216,11.576959999406393,6.304302115131025,Transcriptional Driver
S100A14,S100A14,1.1530299379950915,3.522705900100964e-09,4.962469892174487e-07,Upregulated,10.088999863752095,8.935969925757004,6.304302115131025,Transcriptional Driver
