gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
PSMB8,PSMB8,1.9490760317266904,1.0978592749313612e-44,2.6380444606321693e-42,Upregulated,welch_ttest,11.389522323172525,9.440446291445834,41.57871788928833,Transcriptional Driver
UPP2,UPP2,-5.2250261570726035,1.1244551706159257e-44,2.6633523898302924e-42,Downregulated,welch_ttest,6.20235639220439,11.427382549276993,41.5745713679832,Transcriptional Driver
SLC7A13,SLC7A13,-6.679884902353454,1.4994044407597288e-44,3.501426144760043e-42,Downregulated,welch_ttest,4.366534628573065,11.046419530926519,41.455755029750506,Transcriptional Driver
ALDOA,ALDOA,1.1975120471374598,1.5837420733483969e-44,3.6470060522383917e-42,Upregulated,welch_ttest,14.620689117482865,13.423177070345405,41.438063515970136,Transcriptional Driver
SUOX,SUOX,-1.7426955075821589,2.0381217534472553e-44,4.6290491331719854e-42,Downregulated,welch_ttest,9.594157099732687,11.336852607314846,41.33450820954939,Transcriptional Driver
ENTPD1,ENTPD1,2.027928519597287,2.0704028708568902e-44,4.6388215674063834e-42,Upregulated,welch_ttest,10.565123093455579,8.537194573858292,41.33359233232736,Transcriptional Driver
ATP6V0D2,ATP6V0D2,-4.075581143038698,2.2238370942470142e-44,4.916162536348732e-42,Downregulated,welch_ttest,7.237165291131142,11.31274643416984,41.30837376706458,Transcriptional Driver
KCNJ1,KCNJ1,-6.973909224080651,2.5289697551595197e-44,5.517147176387478e-42,Downregulated,welch_ttest,5.5255945037640855,12.499503727844736,41.258285430571824,Transcriptional Driver
AXL,AXL,2.0147209426999293,2.762860918690815e-44,5.949121302843339e-42,Upregulated,welch_ttest,11.410569489958565,9.395848547258636,41.22554717570129,Transcriptional Driver
SLC12A3,SLC12A3,-5.636944564274143,4.332291522362899e-44,9.208896594971394e-42,Downregulated,welch_ttest,4.393717347447613,10.030661911721756,41.035792403616725,Transcriptional Driver
VEGFA,VEGFA,1.7556612388909514,4.500322552611386e-44,9.444980749657821e-42,Upregulated,welch_ttest,14.838202966946378,13.082541728055427,41.024798922901056,Transcriptional Driver
TFAP2B,TFAP2B,-5.805244840155815,4.811729477542086e-44,9.972309342205974e-42,Downregulated,welch_ttest,4.047916273209136,9.853161113364951,41.00120425809352,Transcriptional Driver
