gene,RF_importance,GB_importance,L1_importance,ensemble_score,ml_rank
MTCP1,0.008906640625,0.0,0.0,0.19882638951194956,69
/PAH,0.008702235039653929,0.0,0.0,0.19426336443419348,70
GATA3,0.008695652173913044,0.0,0.0,0.19411641257175632,71
ATPAF1,0.008674396135265699,0.0,0.0,0.19364190578546978,72
TMEM30B,0.008674396135265699,0.0,0.0,0.19364190578546978,73
LOX,0.008673419711619734,0.0,0.0,0.1936201087021097,74
CALB1,0.008671952377709308,0.0,0.0,0.193587352838715,75
SELENBP1,0.008661007138722747,0.0,0.0,0.19334301802813164,76
PLCXD3,0.008660509521400897,0.0,0.0,0.19333190952385626,77
EGFR,0.008656014287454607,0.0,0.0,0.19323156067481395,78
ATP6V1G3,0.008652577523207585,0.0,0.0,0.19315484045496795,79
PDP2,0.008642857142857143,0.0,0.0,0.19293784863828495,80
KCTD1,0.008429648768129922,0.0,0.0,0.18817831548257014,81
CLDN16,0.008428792569659442,0.0,0.0,0.18815920223238314,82
DPP6,0.008425358425358426,0.0,0.0,0.18808254049860695,83
HRG,0.008425358425358426,0.0,0.0,0.18808254049860695,84
LZTS3,0.008408388628375374,0.0,0.0,0.18770371714567852,85
/LOC101930344,0.00838552321007081,0.0,0.0,0.18719328355375656,86
ACAA1,0.00835137220442362,0.0,0.0,0.18643091742303228,87
ANGPT2,0.008225352112676056,3.4461757992358217e-06,0.0,0.18362510582431435,88
NR1I3,0.008191519221084438,0.0,0.0,0.18286245734159237,89
NQO2,0.008160907841078417,0.0,0.0,0.18217910764546882,90
HPGD,0.008160907841078417,0.0,0.0,0.18217910764546882,91
FLNA,0.008150973221781634,0.0,0.0,0.18195733328978067,92
MDM2,0.008132521908471276,0.0,0.0,0.18154543747387059,93
VTCN1,0.0,0.08375489974664531,0.0,0.17945225283194616,94
MPC1,0.008004158004158005,0.0,0.0,0.178679920303836,95
ATP6V0D2,0.007908786309639187,0.0,0.0,0.17655090101573453,96
FDX1,0.007896592900245612,0.0,0.0,0.1762787028135571,97
CXCL11,0.007862922118984124,0.0,0.0,0.17552705691785575,98
TGFA,0.0,0.0,0.18725563211739327,0.11900392001065113,99
SCN2A,0.0,0.05255739159029116,0.0,0.1126088426155187,100
